title,store,sells,price,Unnamed: 0
apple+iphone11promax,周宏亮,6373.0,3787.0,170.0
oppo+r17,oppo官方旗舰店,6368.0,2199.0,171.0
魅族+16xs,魅族官方旗舰店,6361.0,1499.0,172.0
魅族+16,魅族官方旗舰店,6313.0,2689.0,173.0
荣耀+9x,白开水的点燃方式,6295.0,957.99,174.0
小米+cc9,小米官方旗舰店,6283.0,2599.0,175.0
华为+p30,同步飞扬数码专营店,6216.0,2499.0,176.0
荣耀+v20,三际数码官方旗舰店,6175.0,1099.0,177.0
荣耀+20pro,荣耀官方旗舰店,6152.0,2699.0,178.0
华为+p30,同步飞扬数码专营店,6124.0,3388.0,179.0
一加+7pro,一加创华威专卖店,6095.0,3499.0,180.0
华为+nova5pro,苏宁易购官方旗舰店,6083.0,2499.0,181.0
荣耀+20,荣耀官方旗舰店,5969.0,1099.0,182.0
小米+小米8,一朵花的记忆,5900.0,729.0,183.0
vivo+x27,vivo天诚专卖店,5857.0,1298.0,184.0
三星+galaxynote10,三星官方旗舰店,5837.0,7999.0,185.0
荣耀+v30,深圳一航,5829.0,1699.0,186.0
荣耀+8x,京合旗舰店,5803.0,899.0,187.0
荣耀+20i,三际数码官方旗舰店,5778.0,999.0,188.0
红米+7,苏宁易购官方旗舰店,5730.0,899.0,189.0
apple+iphone8plus,zhongweixin8250,5627.0,2200.0,190.0
华为+nova5,同迅数码专营店,5588.0,899.0,191.0
vivo+iqoo,苏宁易购官方旗舰店,5528.0,1898.0,192.0
华为+畅享9,三际数码官方旗舰店,5450.0,818.0,193.0
尼凯恩+,尼凯恩旗舰店,5400.0,69.0,194.0
oppo+a9,佳惠兴通数码专营店,5375.0,699.0,195.0
apple+iphonexr,liubingtuan,5358.0,2780.0,196.0
红米+k20pro,三际数码官方旗舰店,5325.0,2499.0,197.0
美图+t9,美图旗舰店,5285.0,1299.0,198.0
vivo+u1,vivo欧曙专卖店,5278.0,749.0,199.0
纽曼+,慕尚年华数码专营店,5263.0,178.0,200.0
oppo+r17pro,oppo官方旗舰店,5253.0,3699.0,201.0
小米+小米9,广东电信亿品汇专卖店,5241.0,2399.0,202.0
一加+7pro,69铺小a,5240.0,2149.0,203.0
华为+nova5pro,国货平价网,5237.0,1496.5,205.0
vivo+z5x,苏宁易购官方旗舰店,5237.0,1398.0,204.0
vivo+x27,vivo曼尼金专卖店,5188.0,1298.0,206.0
华为+p30,三际数码官方旗舰店,5186.0,3999.0,207.0
荣耀+v30,荣耀官方旗舰店,5176.0,999.0,208.0
魅族+16,三际数码官方旗舰店,5174.0,638.0,209.0
apple+iphone11,中国移动手机官方旗舰店,5169.0,5149.0,210.0
apple+iphonexsmax,k4058126963,5160.0,3069.0,211.0
华为+nova5pro,国货平价网,5113.0,1446.55,212.0
vivo+x27,vivo官方旗舰店,4975.0,1698.0,213.0
荣耀+20i,广东电信亿品汇专卖店,4962.0,999.0,214.0
apple+iphone11,洋桃旗舰店,4958.0,4549.0,215.0
华为+p30,三际数码官方旗舰店,4921.0,2699.0,216.0
apple+iphone11promax,苏宁易购官方旗舰店,4862.0,9599.0,217.0
真我+x,苏宁易购官方旗舰店,4816.0,1299.0,218.0
华为+p30,国货平价网,4816.0,2665.33,219.0
荣耀+8x,蓝港数码专营店,4780.0,899.0,220.0
荣耀+20,卓瓦数码专营店,4759.0,1099.0,221.0
apple+iphone8,苏宁易购官方旗舰店,4742.0,3499.0,222.0
荣耀+v20,蓝港数码专营店,4725.0,999.0,223.0
apple+iphone8plus,喜洋洋工作屋,4718.0,2600.0,224.0
vivo+z5x,vivo官方旗舰店,4629.0,1198.0,225.0
荣耀+8x,京合旗舰店,4623.0,1099.0,226.0
oppo+reno,苏宁易购官方旗舰店,4580.0,2999.0,227.0
华为+p30,heatlinda,4541.0,1488.0,228.0
apple+iphonexsmax,彩虹色的蜻蜓,4538.0,3514.5,229.0
纽曼+,东旭启信数码专营店,4530.0,88.0,230.0
红米+7a,给力不坑爹,4492.0,468.0,231.0
三星+galaxys10+,小萝卜通讯,4483.0,2458.0,232.0
apple+iphone11,苏宁易购官方旗舰店,4446.0,8699.0,233.0
apple+iphonexr,中国移动手机官方旗舰店,4443.0,4299.0,234.0
apple+iphone11,中国移动手机官方旗舰店,4428.0,5149.0,235.0
荣耀+v30,荣耀官方旗舰店,4408.0,3299.0,236.0
荣耀+v20,三际数码官方旗舰店,4400.0,1749.0,237.0
美图+t9,美图万能小主专卖店,4389.0,999.0,238.0
vivo+z5x,首佳誉数码专营店,4380.0,1098.0,239.0
小米+cc9,一朵花的记忆,4370.0,918.0,240.0
红米+7a,苏宁易购官方旗舰店,4349.0,599.0,241.0
荣耀+v30,heatlinda,4303.0,898.0,242.0
apple+iphone7plus,中国移动官方旗舰店,4290.0,2859.0,243.0
荣耀+20,荣耀官方旗舰店,4250.0,599.0,244.0
apple+iphone7plus,天南通讯,4249.0,1800.0,245.0
华为+nova4,苏宁易购官方旗舰店,4215.0,1149.0,246.0
荣耀+v20,heatlinda,4194.0,1668.0,247.0
荣耀+10,苏宁易购官方旗舰店,4178.0,1699.0,248.0
vivo+iqoo,vivo天诚专卖店,4158.0,2098.0,249.0
荣耀+20,蓝港数码专营店,4156.0,1999.0,250.0
华为+p30,京联通达数码旗舰店,4139.0,2499.0,251.0
vivo+iqoo,vivo官方旗舰店,4130.0,2098.0,252.0
尼凯恩+,尼凯恩旗舰店,4102.0,79.0,253.0
荣耀+8x,能良数码官方旗舰店,4095.0,868.0,254.0
华为+p30,三际数码官方旗舰店,4076.0,4488.0,255.0
apple+iphonexsmax,优质宝贝,4045.0,3150.0,256.0
华为+p30,国货平价网,4025.0,1956.04,257.0
vivo+u1,苏宁易购官方旗舰店,3995.0,799.0,258.0
荣耀+v30,广东电信亿品汇专卖店,3929.0,899.0,259.5
荣耀+10,蓝港数码专营店,3900.0,1099.0,261.0
荣耀+v20,三际数码官方旗舰店,3872.0,2199.0,262.0
红米+note8,广东电信亿品汇专卖店,3850.0,1029.0,263.0
华为+p30,京成数码商贸,3824.0,2838.0,264.0
荣耀+v20,深圳一航,3789.0,1998.0,265.0
apple+iphone8plus,songhaozhen,3775.0,2110.0,266.0
小米+cc9,龙通店,3747.0,918.0,267.0
apple+iphonexr,数码科技1628_1628,3707.0,2370.53,268.0
华为+畅享9plus,龙通店,3706.0,697.99,269.0
纽曼+,德隆兴盛数码专营店,3679.0,58.0,270.0
红米+k20pro,佳欣共创科技,3657.0,1788.0,271.0
小米+cc9,heatlinda,3634.0,2438.0,272.0
apple+iphone11promax,icmay2012,3622.0,3498.99,273.0
vivo+z3,vivo智轩优品专卖店,3621.0,1098.0,274.0
oppo+k5,苏宁易购官方旗舰店,3611.0,1799.0,275.0
黑鲨+,wezebaba,3608.0,749.0,276.0
荣耀+v20,梅州铭鑫通讯,3581.0,1208.0,277.0
纽曼+,炜广天成数码专营店,3574.0,78.0,278.0
红米+note8,小米官方旗舰店,3508.0,1199.0,279.0
荣耀+v20,深圳一航,3503.0,1278.0,280.5
oppo+r17,苏宁易购官方旗舰店,3487.0,2499.0,282.0
纽曼+m560,纽曼深圳专卖店,3482.0,99.0,283.0
华为+p30,蓝港数码专营店,3475.0,2599.0,284.0
魅族+16,魅族官方旗舰店,3460.0,1999.0,285.0
apple+iphonexsmax,zhuxiaoming1113,3420.0,3650.0,286.0
