title,price,store,sells,location,commentcount
"""GINEEK/京立 L660移动翻盖手机联通电信老人机双卡大字大声老年机""",79.0,"""大爱百货专售""",815人收货,江苏 常州,5886.0
"""Huawei/华为 畅享5S老年人机智能手机全网通移动电信大屏大字大声""",300.0,"""砍头数码""",827人收货,广东 深圳,4122.0
"""Huawei/华为T2010全网通移动联通4G老人手机大声大字体电信老年机""",120.0,"""龙飞凤舞迎新春""",904人收货,广东 深圳,2262.0
"""K-Touch/天语 Q3 正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通版学生按键手机""",99.0,"""苏宁易购官方旗舰店""",760人收货,江苏 南京,3733.0
"""K-Touch/天语 T2老人机超长待机直板大屏大字大声老年手机学生功能移动按键手机 官方正品""",74.0,"""苏宁易购官方旗舰店""",741人收货,江苏 南京,18961.0
"""Nokia/诺基亚1110超长待机直板按键备用学生老人老款怀旧经典手机""",29.0,"""篮淋海""",630人收货,广东 深圳,192.0
"""OPPO A57全网通4G 双卡双待 A59指纹识别 智能手机 A37支持NFC""",342.0,"""一米阳光通讯城""",569人收货,广东 深圳,358.0
"""Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机""",258.0,"""伟业恒通数码专营店""",3472人收货,广东 深圳,54815.0
"""SAILF R20全新上市正品2019新款手机智能超薄水滴屏4G全网通学生价安卓游戏全面屏送小米鼠oppo华为vivo耳机""",398.0,"""赛尔丰数码专营店""",607人收货,广东 深圳,200.0
"""SAILF R20全新智能手机2019新款上市4G全网通双卡双待安卓超薄水滴全面屏学生游戏送vivo小米鼠oppo华为耳机""",598.0,"""硕王鑫基汇专卖店""",599人收货,广东 深圳,821.0
"""Samsung/三星 GALAXY S8+plus 港版美版s8全网通4G曲面屏智能手机""",1280.0,"""专业灯光设备""",625人收货,上海,2213.0
"""Samsung/三星 Galaxy S10+ SM-G9750三星S10美版港版手机note10""",2458.0,"""小萝卜通讯""",875人收货,上海,4483.0
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.0,"""齐胜通讯""",1.0万+人收货,广东 深圳,32711.0
"""Xiaomi/小米 Redmi K30 5G骁龙855plus 红米k30pro官方尊享5g手机""",1438.0,"""69铺小a""",840人收货,广东 深圳,563.0
