title,type,Unnamed: 0,sells,price
vivo+iqoo,6GB 128GB,1400.17,15955,2313.55
vivo+u3x,3GB+64GB,202.0,15845,829.0
小米+cc9,4GB+64GB,2171.67,15419,1309.78
vivo+u3x,3GB+32GB,207.0,14868,789.0
魅族+16xs,全网通（6GB 64GB）,208.0,14738,1499.0
apple+iphonexr,全网通 128GB,1004.33,14305,4821.83
魅族+x8,6GB+128GB,209.0,14041,1198.0
apple+iphonexsmax,全网通 256GB,210.0,13959,6899.0
apple+iphone7,128G全网通,1171.44,13900,1761.91
apple+iphone11,全网通64G,1831.44,13859,6539.06
天语+s8,全网通4G,212.0,13566,279.0
红米+7,全网通4G+64G,213.0,13564,1087.0
小米+小米9,12GB+256GB,1617.67,13087,4181.67
努比亚+红魔,8GB+128GB,217.0,12809,2099.0
荣耀+8x,2400万像素全网通（6GB 64GB）,218.0,12690,1599.0
apple+iphonexs,全网通 64GB,219.0,12626,5358.0
apple+iphonex,256G 全网通,2417.09,12606,3897.27
飞利浦+e517,E517,220.0,12505,299.0
apple+iphone11promax,512GB,2768.75,12455,12561.27
vivo+iqoo,6GB  128GB,659.0,12291,2098.0
荣耀+20,全网通（6GB 64GB）,223.0,12179,1299.0
oppo+reno,官方标配,1103.25,12073,3039.77
黑鲨+,12GB+256GB,873.0,11916,3502.75
vivo+z5x,4GB+64GB,225.0,11774,1298.0
oppo+a5,全网通,733.5,11673,861.5
华为+p30,全网通8G+128G【华为官方直供】,229.0,11578,3688.0
apple+iphone8plus,64G 全网通,1274.58,11533,2689.5
oppo+reno10,8GB+256GB,230.0,11483,4314.0
vivo+u3x,4GB 64GB,802.5,11451,949.0
华为+mate20pro,8G+128G（UD版）,231.0,11389,4597.33
华为+p30,全网通8G+128G【 华为官方直供】,232.0,11272,4484.0
apple+iphone7,全网通 32GB,1638.0,11242,3932.34
华为+nova5,8GB+256GB,1673.5,11073,2599.0
中兴+bladea7,2GB+32GB,239.0,10930,498.0
荣耀+20i,6+64G 全网通,240.0,10807,996.07
oppo+k3,超值套装,1086.71,10618,1864.81
红米+7,8GB+128GB,244.0,10366,1899.0
黑鲨+,6GB+128GB,245.0,10362,2429.0
vivo+iqoo,8GB 128GB,1605.55,10352,2743.76
华为+nova4,6G+128G 全网通,246.0,10351,1465.33
荣耀+10,全网通(6G+128G),777.5,10165,1342.66
华为+nova4,全网通（6GB+128GB）,333.5,10110,1465.34
apple+iphone7,128G 国行 全网通,333.0,10059,1669.75
oppo+k5,官方标配,915.0,9859,2065.51
vivo+z3,4GB 128GB,2075.67,9545,1055.73
魅族+16xs,全网通（6GB 128GB）,251.0,9543,1699.0
oppo+renoz,6GB+256GB,253.0,9402,2273.29
华为+nova5pro,8GB+128GB全网通（碎屏险套餐）,254.0,9295,2499.0
红米+7,4G+64G 全网通,255.0,9275,769.0
荣耀+8x,全网通（6G+128G）,2102.0,9196,1517.75
魅族+16,16th（6GB+128GB）,259.0,9131,1698.0
荣耀+8x,2400万像素全网通（6GB 128GB）,260.0,8886,1699.0
努比亚+红魔,6GB+64GB,261.0,8840,1899.0
oppo+reno,全网通,1210.5,8781,3072.6
apple+iphone11,全网通128G,1123.2,8762,5752.6
华为+nova5,8+128G 全网通,576.0,8699,2049.0
华为+畅享9,4GB+64GB,1606.0,8698,855.32
华为+nova5pro,全网通（8G+128G）,265.0,8660,2499.0
红米+7a,全网通 2G+32G,1722.0,8620,519.0
vivo+z5,6GB 128GB,1129.33,8512,1701.33
华为+nova4,全网通(6G+128G),268.0,8410,1248.67
vivo+z3,6GB  128GB,269.0,8314,1598.0
华为+畅享9plus,移动全网通(4+128G),383.5,8234,1034.0
荣耀+8x,4G+64G,1140.5,8131,995.6
联想+z5pro,6GB+128GB,1058.5,8097,1574.0
oppo+r17,全网通(8G RAM+128G ROM),1155.33,8058,2132.89
apple+iphone11,全网通64GB,2567.0,8036,6683.79
真我+x,8GB+256GB,510.5,7982,2349.0
红米+7,全网通 4G+64G,486.5,7965,897.25
努比亚+红魔3,12GB+256GB,1113.67,7939,3974.22
红米+8a,全网通4G+64G,274.0,7920,692.67
小米+小米8,6G+128G 全网通,987.0,7806,1707.52
小米+cc9,4GB+128GB,2379.0,7758,1149.0
联想+z5pro,6GB+64GB,278.0,7654,1228.0
vivo+iqoo,8GB+64GB,279.0,7640,2098.0
荣耀+v20,全网通8G+128G,281.0,7538,1966.6
小米+小米8,全网通(6G+128G),678.5,7360,1338.84
oppo+k5,全网通,1152.0,7239,2049.0
vivo+u3x,3GB 32GB,1434.5,7198,794.0
vivo+z5,6GB 256GB,1074.0,7164,1812.58
华为+nova4,6G+128G全网通,287.0,6937,1178.0
联想+z5,6GB+128GB,1497.0,6899,1091.0
oppo+k3,8GB+256GB,289.0,6805,2226.14
apple+iphonex,64G全网通,1777.44,6776,3682.22
华为+mate20pro,全网通(8G+128G)(UD版 屏内解锁),404.5,6766,4599.0
华为+nova5pro,全网通(8G+128G),291.0,6734,2497.0
华为+畅享9,全网通4GB+64GB,618.0,6662,858.5
华为+p30,限量套装版,294.0,6643,6008.0
apple+iphone7,全网通 128GB,296.0,6530,3423.0
apple+iphone11promax,全网通 256GB,1423.0,6379,10541.06
apple+iphonexr,全网通64G,435.0,6323,4610.25
华为+mate20,全网通(6G+64G) （皮套套餐）,298.0,6289,2699.0
oppo+reno,12GB+256GB,2212.5,6268,4149.0
vivo+iqoo,12GB 128GB,1847.17,6229,3199.67
apple+iphone8,64G 全网通,1586.55,6220,2086.92
荣耀+20,全网通（6GB 128GB）,300.0,6153,1699.0
apple+iphone7,32G全网通,1803.4,6058,1603.8
华为+nova6,4G全网通,302.0,6048,3199.0
努比亚+红魔3,6GB+128GB,303.0,6023,2312.0
apple+iphone8plus,全网通64GB,304.0,5970,4128.0
中兴+bladev10,4GB+64GB,306.0,5868,809.0
小米+小米9se,6G+128G 全网通,737.0,5816,1859.5
小米+小米9,8G+128G 全网通,307.0,5809,2985.0
oppo+reno,6GB+256GB,1991.5,5776,2462.39
红米+8a,3GB+32GB,3101.14,5705,651.09
荣耀+10,4G+64G,311.0,5687,887.0
荣耀+10,全网通（4GB 128GB）,315.0,5581,1299.0
apple+iphone11,64G,2393.2,5566,5737.47
荣耀+10,6G+128GB全网通,317.0,5544,1807.0
vivo+z5,6GB 64GB,1328.0,5530,1488.42
apple+iphone11,全网通128GB,836.5,5501,5833.58
apple+iphonexs,512GB,318.0,5489,7621.67
中兴+bladea7,3GB+64GB,319.0,5485,649.0
vivo+u1,4GB 64GB,2052.0,5466,1149.0
红米+7a,全网通3G+32G,476.0,5459,529.0
华为+畅享9,(4G RAM+64G ROM),2202.0,5406,869.0
apple+iphone7,32G 国行 全网通,479.5,5394,1374.16
荣耀+9x,全网通6GB+128GB,648.5,5358,1657.75
华为+p30,全网通(8G+256G),486.5,5322,4659.43
飞利浦+e106,E109,324.0,5260,99.0
apple+iphone8,256G 全网通,2818.7,5252,2796.49
三星+galaxya60,6GB+128GB,329.0,5129,1999.0
apple+iphone8plus,全网通 128GB,330.0,5124,5599.0
荣耀+8x,6G+128G(全网通),332.0,5094,1373.0
荣耀+10,全网通(4G+64G),537.0,5093,880.34
华为+p30,全网通8G+256G【 华为官方直供】,334.0,5072,4988.0
红米+7,全网通6G+64G,336.0,5039,926.0
vivo+u1,3GB 64GB,2285.5,5029,974.0
荣耀+20i,全网通（6G+64G）,340.0,4866,999.0
华为+p30,全网通8GB+128GB,1052.0,4819,3947.5
华为+nova5,全网通（8G+128G）,510.5,4815,2349.0
oppo+reno,超值套装,2039.79,4787,3140.82
华为+p30,8G+128G赠华为无线充+蓝牙音箱,344.0,4712,4488.0
三星+galaxys10,8GB+512GB,2972.67,4593,4965.67
荣耀+9x,【4G+64G】标配版,355.0,4436,1099.0
oppo+a5,全网通 双卡双待,356.0,4392,799.0
荣耀+9x,4G+64G 送原装耳机,553.5,4390,1099.0
华为+mate20pro,全网通8G+128G(屏幕指纹),357.0,4381,4599.0
华为+mate20,全网通(6G+128G),1778.0,4265,2964.5
荣耀+20i,全网通（6GB+64GB）,362.0,4234,1002.33
小米+cc9,6G+128G 全网通,1319.33,4219,1843.39
apple+iphone11,512GB,3433.56,4198,11794.07
荣耀+8x,6G+64G,1497.0,4197,1077.9
apple+iphone7,全网通 128G,1154.5,4187,3127.0
荣耀+10,6G+128G 全网通咨询赠一年影视会员观影权益,364.0,4179,1449.0
apple+iphonexsmax,全网通 64GB,365.0,4176,5865.67
apple+iphone11,128G,1013.0,4164,5741.78
华为+nova4,全网通6G+128G,532.5,4139,1194.0
华为+畅享9plus,全网通(6+128G),765.5,4131,1225.25
小米+小米9,8G+256G 【现货速发】,369.0,4129,3673.0
荣耀+9x,全网通(4+64G),636.0,4017,1099.0
apple+iphone11,全网通 256GB,1500.14,3931,7443.88
vivo+u3x,3GB 64GB,1703.0,3843,864.0
华为+nova5pro,全网通8G+128G【咨询立省200】,382.0,3696,2499.0
荣耀+20,全网通（8GB 128GB）,383.0,3694,1899.0
荣耀+9x,全网通4GB+64GB,568.5,3676,1097.62
红米+7,8GB+256GB,386.0,3669,2199.0
华为+nova5pro,全网通（8G+128GB）分期0首付,388.0,3658,2457.0
红米+7a,全网通2G+16G,554.0,3605,466.66
荣耀+9x,全网通6GB+64GB,628.5,3602,1299.0
oppo+r17,全网通(6G RAM+128G ROM),1300.0,3585,1702.54
荣耀+9i,全网通4+64G,392.0,3581,1099.0
荣耀+20i,全网通6G+64G,2065.0,3553,1049.0
荣耀+9x,全网通 6GB+128GB,393.0,3551,1516.5
荣耀+8x,6+128G,397.0,3490,1299.0
vivo+iqoo,6GB 64GB,1669.5,3455,2049.31
apple+iphonex,256G全网通,2155.27,3454,4183.36
华为+nova5pro,8G+128G【优惠400仅需2299】,400.0,3428,2499.0
oppo+a5,双卡双待,401.0,3417,932.33
oppo+k5,8GB+256GB,402.0,3360,2499.0
小米+小米8,8G+128G,1073.5,3334,2051.58
apple+iphone8plus,64G,1388.5,3327,3347.23
荣耀+20,全网通8GB+256GB,403.0,3319,2499.0
oppo+k3,全网通 双卡双待,404.0,3304,1799.0
红米+note7pro,全网通 6G+128G,407.0,3244,1037.25
三星+galaxys10+,8GB+512GB,2213.0,3213,6594.0
oppo+reno,标配(蓝牙耳机),1053.67,3213,2760.11
华为+mate30,全网通(8G+128G)(4G版),410.0,3210,4299.0
华为+畅享9,(4G RAM+128G ROM),1708.0,3204,1011.0
魅族+16,全网通8GB+128GB,411.0,3200,2011.67
荣耀+8x,6GB+64GB 高配版,413.0,3197,1108.75
