,title,store,type,sells,price
87,['黑莓（BlackBerry）KEY2高配版 6GB+128GB双卡双待 4G全网通'],['黑莓手机京东自营官方旗舰店'],6GB+128GB,3846,3999.0
88,['【二手9成新】Apple iPhone SE 苹果se 二手'],['八方优品二手手机专营店'],16G 全网通,3840,684.8
89,['小辣椒 红辣椒7X尊享版 6+128GB 宝石蓝 4000mAh大电池  6.3英寸水滴屏 双面玻璃 微信8开 全网通4G 双卡双待'],['小辣椒手机京东自营官方旗舰店'],6GB+64GB,3824,749.0
90,['华为（HUAWEI） Mate10 全面屏 '],['掌视界数码旗舰店'],全网通(4G+64G),3790,2134.67
91,['联想Z6 6GB+128GB 蓝色 骁龙730 AIE处理器 4000mAh续航  屏幕光电指纹 后置三摄 全网通4G 双卡双待'],['联想手机京东自营官方旗舰店'],6GB+128GB,3717,1349.0
92,['守护宝（上海中兴）L105 老人'],['守护宝手机京东自营旗舰店'],移动联通双卡版,3659,99.0
93,['【二手9成新】Apple iPhone SE 苹果se 二手'],['八方优品二手手机专营店'],64G 全网通,3641,942.4
94,['【二手9成新】苹果XR'],['翱行二手商品专营店'],64G 全网通,3543,3328.0
95,['华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人老年'],['众盛手机专营店'],移动版(2GB RAM+16GB ROM),3540,455.67
96,['【二手95新】苹果x XS Max'],['翱行二手商品专营店'],64G 全网通,3530,4331.33
97,['【二手9成新】华为'],['腾龙二手商品专营店'],2+8G 移动4G联通2G,3514,220.0
98,['【二手9成新】苹果6'],['闪搜二手手机专营店'],32G 全网通,3513,958.0
99,['华为（HUAWEI） 荣耀10青春版 全网通智能'],['OKSJ手机旗舰店'],4G+64G,3498,899.0
100,['【二手9成新】苹果6 Apple iPhone6 二手'],['扬帆二手商品专营店'],16G全网通,3456,656.0
101,['【二手9成新】华为'],['腾龙二手商品专营店'],3+32G 全网通,3413,436.94
102,['【二手9成新】Apple iPhone SE 苹果se 二手'],['马上优品二手商品旗舰店'],16G 全网通,3400,654.25
103,['【二手9成新】苹果5s Apple iPhone5s二手'],['源发胜二手商品专营店'],16G  A1530移动联通4G,3354,512.33
104,['苹果 '],['臻火旗舰店'],128GB,3346,5859.0
105,['华为（HUAWEI）荣耀畅玩8C 移动联通电信全网通4G 全面屏智能老年老人'],['众盛手机专营店'],4GB RAM+64GB ROM,3255,907.0
106,['苹果 '],['臻火旗舰店'],64GB,3251,7180.43
107,['【二手9成新】苹果7Plus'],['瓜子二手商品专营店'],128G 全网通,3234,1796.5
108,['【二手9成新】Apple iPhone SE 苹果se 二手'],['马上优品二手商品旗舰店'],64G 全网通,3190,861.0
109,['【二手9成新】Apple iPhone6s Plus 苹果6s plus '],['福汇优品二手手机专营店'],64G 全网通,3004,1193.0
110,['华为（HUAWEI） P20 Pro 全面屏 '],['掌视界数码旗舰店'],全网通(6G+128G),2977,2623.25
111,['OPPO A11 5000mAh大电池 AI四摄 视频防抖 6GB+256GB 暮辰紫 全网通4G 全面屏拍照游戏智能'],['OPPO京东自营官方旗舰店'],6GB+256GB,2903,1599.0
112,['朵唯（DOOV）青春版6.0全面屏拍照游戏'],['移联翼官方旗舰店'],全网通(4GB+32GB)标配版,2867,499.0
