title,store,Unnamed: 0,sells,price
华为+nova5pro,['久汇通官方旗舰店'],1127.5,10828,2738.5
红米+7,['伟德手机专营店'],988.5,10802,745.5
oppo+r17,['OPPO官方直营旗舰店'],350.5,10572,2806.14
华为+畅享9,['众盛手机专营店'],2090.3,10483,948.97
apple+iphonex,['瓜子二手商品专营店'],2377.25,10482,3943.91
oppo+reno,['OPPO手机乐良专卖店'],1553.55,10046,3414.79
华为+畅享9plus,['聚捷联盛手机旗舰店'],1141.0,9934,1157.29
荣耀+9x,['牧申手机旗舰店'],1149.83,9920,1597.99
apple+iphone11,['明日数码旗舰店'],2636.07,9708,7702.4
红米+note8,['佳沪手机旗舰店'],868.71,9682,1255.75
小米+小米8,['掌视界数码旗舰店'],1397.0,9582,1217.12
小米+小米8,['疆界互联旗舰店'],1832.0,9036,1436.25
华为+畅享9,['佳沪手机旗舰店'],1834.57,8892,1040.48
apple+iphone7,['福汇优品二手手机专营店'],2077.68,8376,1685.88
华为+mate20,['炜东电商旗舰店'],956.75,8336,2949.0
小米+小米8,['谷高数码手机专营店'],1273.33,8280,2150.72
apple+iphonexr,['明日数码旗舰店'],2250.0,8176,5053.17
荣耀+v20,['佳沪手机旗舰店'],660.0,8138,1840.8
apple+iphone11,['茄子手机旗舰店'],2898.41,8073,7175.42
红米+8a,['佳沪手机旗舰店'],1228.5,8023,683.67
荣耀+20i,['炜东电商旗舰店'],771.25,7921,1349.83
中兴+bladev10,['中兴京东自营官方旗舰店'],417.0,7869,879.0
华为+nova4,['福气多多手机旗舰店'],1200.4,7837,1957.33
华为+nova5,['久汇通官方旗舰店'],1269.88,7813,2116.5
华为+mate30pro,['掌视界数码旗舰店'],1086.86,7806,6875.19
荣耀+9x,['新松联手机旗舰店'],1411.14,7677,1696.5
apple+iphone11,['咪咕旗舰店'],963.0,7586,5877.56
华为+nova5pro,['掌视界数码旗舰店'],585.5,7543,2698.0
oppo+k5,['OPPO官方直营旗舰店'],508.5,7252,2116.86
华为+nova4,['炜东电商旗舰店'],1479.0,6989,1201.0
apple+iphone11,['聚捷联盛手机旗舰店'],2722.33,6970,6713.65
荣耀+8x,['疆界互联旗舰店'],1387.0,6874,1196.24
apple+iphone7,['瓜子二手商品专营店'],407.0,6861,1240.92
apple+iphonexr,['炜东电商旗舰店'],1280.33,6807,5304.94
荣耀+10,['牧申手机旗舰店'],856.0,6749,1061.67
apple+iphone7,['可多优品二手手机专营店'],2288.63,6593,1815.65
华为+畅享9,['京铠玄手机旗舰店'],954.4,6447,1010.03
华为+mate30pro,['福气多多手机旗舰店'],1829.44,6360,6893.63
荣耀+9x,['聚捷联盛手机旗舰店'],1223.75,6324,1518.88
apple+iphone8plus,['疆界互联旗舰店'],2131.5,6316,4719.0
小米+小米8,['闲至优品二手手机旗舰店'],2025.5,6290,1335.37
华为+畅享9,['华信通手机专营店'],1217.2,6192,890.1
apple+iphone11promax,['佳沪手机旗舰店'],1342.86,6120,10520.96
华为+畅享10plus,['久汇通官方旗舰店'],1623.0,6040,1765.0
oppo+k3,['OPPO优品专卖店'],560.0,6009,1748.96
荣耀+9x,['千瑞达手机旗舰店'],818.75,5943,1511.5
荣耀+10,['炜东电商旗舰店'],1415.5,5897,1046.61
华为+畅享9,['宏图手机专营店'],872.67,5839,868.67
vivo+iqoo,['vivo兰珊专卖店'],2400.44,5772,2992.79
荣耀+9x,['疆界互联旗舰店'],1980.0,5715,1661.16
小米+小米9se,['疆界互联旗舰店'],1599.5,5708,2257.31
apple+iphonex,['万城优品二手手机专营店'],3062.85,5617,3875.25
红米+note8,['伟德手机专营店'],1188.0,5509,1276.25
华为+畅享9,['炜东电商旗舰店'],599.67,5462,842.33
vivo+iqoo,['vivo耀诚鑫专卖店'],2138.93,5385,2962.64
oppo+k3,['牧申手机旗舰店'],625.5,5381,1703.55
华为+mate20pro,['掌视界数码旗舰店'],700.33,5380,4665.67
小米+cc9,['疆界互联旗舰店'],2259.73,5369,1880.14
华为+畅享9plus,['炜东电商旗舰店'],484.5,5334,1129.0
荣耀+9x,['OKSJ手机旗舰店'],1152.75,5300,1561.5
华为+mate30,['掌视界数码旗舰店'],869.0,5277,4699.0
华为+mate20pro,['佳沪手机旗舰店'],927.33,5268,4665.67
apple+iphone8,['经典二手商品专营店'],3092.83,5263,2374.17
oppo+reno,['OPPO优品专卖店'],1495.62,5176,3248.52
华为+mate20,['掌视界数码旗舰店'],1079.0,5085,3239.0
红米+7a,['明日数码旗舰店'],954.75,5024,505.08
荣耀+20i,['掌视界数码旗舰店'],2110.0,5023,1365.67
红米+note8,['疆界互联旗舰店'],1451.43,4930,1259.38
荣耀+9x,['明日数码旗舰店'],1466.0,4930,1549.0
荣耀+20,['佳沪手机旗舰店'],1004.25,4873,2024.0
中兴+axon10pro,['中兴京东自营官方旗舰店'],739.67,4858,3699.0
荣耀+20i,['佳沪手机旗舰店'],794.0,4857,1365.67
华为+p30,['天翼电信旗舰店'],1973.08,4826,4428.17
oppo+k5,['OPPO手机乐良专卖店'],2024.5,4801,2099.0
apple+iphone11,['淘金手机专营店'],2783.0,4768,7986.14
apple+iphonex,['发动机优品二手手机专营店'],2964.62,4726,4031.9
华为+nova4,['京联通达旗舰店'],1108.5,4723,1465.34
oppo+reno,['OPPO墨白专卖店'],1501.1,4641,3156.55
魅族+16,['佳沪手机旗舰店'],1651.33,4637,2223.28
apple+iphone7,['马顺二手商品专营店'],2411.6,4560,1688.85
荣耀+8x,['京铠玄手机旗舰店'],1095.0,4463,1408.63
oppo+a5,['牧申手机旗舰店'],1423.5,4460,874.0
华为+nova5pro,['千瑞达手机旗舰店'],914.33,4452,2839.0
三星+galaxya70,['三星手机京东自营官方旗舰店'],536.5,4440,2649.0
oppo+reno,['头号卖家旗舰店'],1408.17,4432,2810.11
华为+畅享10plus,['炜东电商旗舰店'],740.67,4418,1665.67
apple+iphone7,['鸿兴优品二手手机专营店'],2990.8,4379,1783.94
apple+iphone11,['东源海外专营店'],2807.94,4365,6661.49
小米+cc9,['佳沪手机旗舰店'],1865.7,4191,1799.13
华为+nova5pro,['佳沪手机旗舰店'],797.5,4137,2699.0
oppo+a5,['OPPO优品专卖店'],680.0,4118,982.33
华为+mate20pro,['炜东电商旗舰店'],614.0,4105,4299.0
荣耀+9x,['佳沪手机旗舰店'],1359.17,4082,1692.97
vivo+z5x,['vivo智美专卖店'],1102.75,4043,1331.75
华为+nova5pro,['明日数码旗舰店'],2461.5,4032,2788.5
华为+畅享9plus,['牧申手机旗舰店'],911.33,3991,1181.83
荣耀+20,['疆界互联旗舰店'],2322.9,3960,1744.4
华为+p30,['聚捷联盛手机旗舰店'],1842.56,3883,4340.04
华为+畅享10plus,['新松联手机旗舰店'],1001.33,3857,1665.67
真我+x,['realme真我官方旗舰店'],788.33,3849,3610.11
apple+iphonexsmax,['新松联手机旗舰店'],1128.0,3827,6488.0
