,store,commentcount,location,count
184,"""苏宁易购官方旗舰店""",1872.0,江苏 南京,1
185,"""zl528008""",1578.0,广东 深圳,1
186,"""白开水的点燃方式""",9469.0,河南 郑州,1
187,"""哥小哥数码专营店""",797.0,广东 深圳,1
188,"""heatlinda""",3634.0,广东 深圳,1
189,"""伊恋纯服饰""",1914.0,广东 深圳,1
190,"""佳欣共创科技""",8465.0,广东 深圳,1
191,"""小淘器数码专营店""",3146.0,安徽 合肥,1
192,"""京合旗舰店""",913.0,安徽 合肥,1
193,"""苏宁易购官方旗舰店""",6595.0,江苏 南京,1
194,"""关爱心赫尔曼专卖店""",1602.0,广东 深圳,1
195,"""白云11212""",592.0,广东 深圳,1
196,"""vivo官方旗舰店""",1938.0,广东 东莞,1
197,"""e酷手机网""",2687.0,北京,1
198,"""索爱数码旗舰店""",10340.0,广东 深圳,1
199,"""壹加陆时尚女装""",878.0,广东 深圳,1
200,"""三际数码官方旗舰店""",2807.0,山东 济南,1
201,"""k4058126963""",5160.0,上海,1
202,"""时尚名媛品牌店""",562.0,广东 深圳,1
203,"""蓝港数码专营店""",8801.0,广东 深圳,1
204,"""捷路通数码专营店""",692.0,广东 深圳,1
205,"""荣耀官方旗舰店""",12296.0,广东 深圳,1
206,"""金辉天成数码专营店""",2161.0,广东 深圳,1
207,"""恒信数码科技111""",1300.0,广东 深圳,1
208,"""朵唯深圳专卖店""",2112.0,广东 深圳,1
209,"""蓝港数码专营店""",1484.0,广东 深圳,1
210,"""苏宁易购官方旗舰店""",9964.0,江苏 南京,1
211,"""中国移动官方旗舰店""",2032.0,浙江 杭州,1
212,"""纯林伟业数码专营店""",34478.0,广东 深圳,1
213,"""vivo官方旗舰店""",78310.0,广东 东莞,1
214,"""蓝港数码专营店""",3900.0,广东 深圳,1
215,"""广东电信亿品汇专卖店""",5241.0,广东 深圳,1
216,"""锴诚有限公司""",1031.0,北京,1
217,"""网能恒业数码专营店""",595.0,广东 深圳,1
218,"""紫向日葵""",17624.0,北京,1
219,"""苏宁易购官方旗舰店""",166090.0,江苏 南京,1
220,"""天语强宇专卖店""",6402.0,广西 桂林,1
221,"""华晖数码专营店""",3294.0,广东 深圳,1
222,"""vivo官方旗舰店""",7210.0,广东 东莞,1
223,"""品牌机批发店""",9840.0,广东 深圳,1
224,"""蓝港数码专营店""",9278.0,广东 深圳,1
225,"""realme官方旗舰店""",1187.0,广东 东莞,1
226,"""vivo官方旗舰店""",20414.0,广东 东莞,1
227,"""苏宁易购官方旗舰店""",15378.0,江苏 南京,1
228,"""oppo官方旗舰店""",449.0,广东 东莞,1
229,"""heatlinda""",13766.0,广东 深圳,1
230,"""三际数码官方旗舰店""",3248.0,山东 济南,1
231,"""苏宁易购官方旗舰店""",16035.0,江苏 南京,1
