,title,store,type,sells,price
138,飞利浦+e517,['飞利浦手机京东自营旗舰店'],E152Y,38125,179.0
139,锤子+坚果r1,['坚果手机京东自营旗舰店'],6+128G,38057,1999.0
140,一加+7pro,['一加手机京东自营官方旗舰店'],6GB 128GB,37997,3999.0
141,apple+iphone8plus,['佳沪手机旗舰店'],全网通 64GB,36590,4160.5
142,真我+真我q,['realme真我京东自营旗舰店'],4GB+64GB,36572,1031.33
143,oppo+k5,['OPPO京东自营官方旗舰店'],8GB+128GB,36488,2104.0
144,荣耀+20i,['荣耀京东自营旗舰店'],全网通（6GB 256GB）,35271,1799.0
145,小米+cc9,['小米京东自营旗舰店'],6GB+64GB,35101,1499.0
146,魅族+note9,['魅族京东自营旗舰店'],全网通（4GB 64GB）,34626,1099.0
147,vivo+iqoo,['vivo官方旗舰店'],8GB  128GB,34095,2298.0
148,魅族+16,['魅族京东自营旗舰店'],16th（8GB+128GB）,33771,1798.0
149,真我+真我q,['realme真我京东自营旗舰店'],6GB+64GB,32781,1322.75
150,apple+iphonexsmax,['Apple产品京东自营旗舰店'],512GB,32770,8421.67
151,华为+nova5,['华为京东自营官方旗舰店'],8GB+128GB,31216,2499.0
152,三星+galaxynote10,['三星手机京东自营官方旗舰店'],标准版,30954,8449.0
153,vivo+u1,['vivo官方旗舰店'],3GB 32GB,30406,699.0
154,魅族+x8,['魅族京东自营旗舰店'],6GB+64GB,29916,949.0
155,apple+iphonexr,['佳沪手机旗舰店'],全网通 64GB,29842,5199.0
156,apple+iphone8,['佳沪手机旗舰店'],全网通 64GB,29632,3199.0
157,荣耀+v30,['荣耀京东自营旗舰店'],官方标配,28000,4049.0
158,魅族+16,['魅族京东自营旗舰店'],全网通（6GB 128GB）,27679,2299.0
159,apple+iphone11,['佳沪手机旗舰店'],全网通 128GB,27604,5668.0
160,oppo+renoz,['OPPO京东自营官方旗舰店'],8GB+128GB,26689,2264.0
161,美图+t9,['美图京东自营官方旗舰店'],4+64GB,26653,1065.67
162,荣耀+20,['荣耀京东自营旗舰店'],全网通（4GB 64GB）,25909,1099.0
163,红米+7,['小米京东自营旗舰店'],6GB+128GB,25495,1699.0
164,美图+t9,['美图京东自营官方旗舰店'],6+128GB,25263,1399.0
165,荣耀+v30,['荣耀京东自营旗舰店'],官方标配,24305,3499.0
166,荣耀+10,['荣耀京东自营旗舰店'],6GB 128GB,24181,1699.0
167,荣耀+8x,['荣耀京东自营旗舰店'],全网通（6GB 128GB）,23999,1199.0
168,oppo+k3,['OPPO手机乐良专卖店'],全网通,23990,1732.33
169,一加+7,['一加手机京东自营官方旗舰店'],12GB 256GB,23983,3398.5
170,真我+x,['realme真我京东自营旗舰店'],6GB+128GB,23861,1399.0
171,魅族+16,['魅族京东自营旗舰店'],16 Plus（6GB+128GB）,23613,1748.0
172,锤子+坚果r1,['坚果手机京东自营旗舰店'],8+128G,23303,2499.0
173,真我+真我q,['realme真我京东自营旗舰店'],8GB+128GB,23112,1598.0
174,联想+z5,['联想手机京东自营官方旗舰店'],6GB+64GB,22802,898.0
175,红米+k20,['小米京东自营旗舰店'],8GB+256GB,22643,1799.0
176,vivo+x27,['vivo京东自营官方旗舰店'],8GB+256GB,21918,2798.0
177,一加+7,['一加手机京东自营官方旗舰店'],8GB 128GB,21811,3179.0
178,华为+nova6,['华为京东自营官方旗舰店'],5G SA/NSA双模,21795,3999.0
179,vivo+iqoo,['vivo京东自营官方旗舰店'],12GB+128GB,21773,3098.0
180,apple+iphone11promax,['Apple产品京东自营旗舰店'],64GB,21217,10221.67
181,荣耀+8x,['荣耀京东自营旗舰店'],全网通（4GB 128GB）,21152,1549.0
182,黑鲨+,['黑鲨京东自营官方旗舰店'],8GB+256GB,21054,2764.0
183,小米+小米9,['小米京东自营旗舰店'],8GB+256GB,21014,3799.0
184,真我+x,['realme真我京东自营旗舰店'],4GB+64GB,21001,1099.0
185,oppo+reno,['OPPO京东自营官方旗舰店'],8GB+256GB,20681,2838.0
186,vivo+iqoo,['vivo京东自营官方旗舰店'],6GB+128GB,20651,1898.0
187,努比亚+x,['努比亚京东自营旗舰店'],8GB+128GB,20062,2399.0
188,魅族+note9,['魅族京东自营旗舰店'],全网通（6GB 64GB）,19938,1199.0
189,小米+小米9,['小米京东自营旗舰店'],12GB+512GB,19904,4299.0
190,apple+iphone7,['经典二手商品专营店'],32G 全网通,19432,1133.5
191,魅族+16,['魅族京东自营旗舰店'],全网通（8GB 128GB）,19300,2991.0
192,apple+iphone11,['中国移动手机官方旗舰店'],64GB,19055,5314.67
193,oppo+reno10,['OPPO京东自营官方旗舰店'],6GB+128GB,18345,3706.5
194,荣耀+magic2,['荣耀京东自营旗舰店'],全网通（8GB 256GB）,18019,2299.0
195,锤子+坚果pro3,['坚果手机京东自营旗舰店'],标准版,17794,2979.0
196,荣耀+8x,['牧申手机旗舰店'],4GB+64GB 标配版,16847,999.0
197,荣耀+10,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,16839,1299.0
198,apple+iphone8plus,['Apple产品京东自营旗舰店'],128GB,16496,4999.0
199,apple+iphone8,['Apple产品京东自营旗舰店'],128GB,16430,3999.0
200,天语+s8,['天语手机京东自营官方旗舰店'],2G,16273,84.0
201,小米+cc9,['小米京东自营旗舰店'],8GB+128GB,16157,2799.0
202,vivo+u3x,['vivo京东自营官方旗舰店'],3GB+64GB,15845,829.0
203,荣耀+10,['荣耀京东自营旗舰店'],全网通（8GB 128GB）,15842,2199.0
204,apple+iphone7,['扬帆二手商品专营店'],128G 全网通,15576,1373.33
205,小米+cc9,['小米京东自营旗舰店'],4GB+64GB,15372,899.0
206,魅族+16,['魅族京东自营旗舰店'],全网通（8GB 128GB）,15284,2599.0
207,vivo+u3x,['vivo京东自营官方旗舰店'],3GB+32GB,14868,789.0
208,魅族+16xs,['魅族京东自营旗舰店'],全网通（6GB 64GB）,14738,1499.0
209,魅族+x8,['魅族京东自营旗舰店'],6GB+128GB,14041,1198.0
210,apple+iphonexsmax,['佳沪手机旗舰店'],全网通 256GB,13959,6899.0
211,红米+k20pro,['小米京东自营旗舰店'],8GB+128GB,13923,2699.0
212,天语+s8,['天语手机京东自营官方旗舰店'],全网通4G,13566,279.0
213,红米+7,['佳沪手机旗舰店'],全网通4G+64G,13564,1087.0
214,魅族+16,['魅族京东自营旗舰店'],全网通（6GB 128GB）,13513,2653.0
215,小米+小米9,['小米京东自营旗舰店'],12GB+256GB,12865,4099.0
216,apple+iphone11,['中国移动手机官方旗舰店'],128GB,12821,5799.0
217,努比亚+红魔,['努比亚京东自营旗舰店'],8GB+128GB,12809,2099.0
